HAB Ground Station Log
Started: 2025-07-23 22:18:21
----------------------------------------

[22:18:21.937] GPS:45.783407,-73.187425,19.30,0.85,0.00,1753323501,10,0.02,357.24
[22:18:22.929] GPS:45.783407,-73.187425,19.40,0.85,0.00,1753323502,10,0.00,357.24
[22:18:23.908] GPS:45.783408,-73.187425,19.40,0.85,0.00,1753323503,10,0.02,357.24
[22:18:24.905] GPS:45.783408,-73.187425,19.50,0.85,0.00,1753323504,10,0.00,357.24
[22:18:25.901] GPS:45.783409,-73.187426,19.60,0.85,0.00,1753323505,10,0.00,357.24
[22:18:26.902] GPS:45.783409,-73.187426,19.70,0.85,0.00,1753323506,10,0.00,357.24
[22:18:27.903] GPS:45.783410,-73.187427,19.80,0.85,0.00,1753323507,10,0.00,357.24
[22:18:29.057] GPS:45.783410,-73.187427,19.90,0.85,0.00,1753323508,10,0.02,357.24
[22:18:29.931] GPS:45.783411,-73.187427,20.00,0.85,0.00,1753323509,10,0.02,357.24
[22:18:30.916] GPS:45.783411,-73.187427,20.10,0.85,0.00,1753323510,10,0.00,357.24
[22:18:31.900] GPS:45.783411,-73.187426,20.20,0.85,0.00,1753323511,10,0.00,357.24
[22:18:32.904] GPS:45.783411,-73.187426,20.20,0.85,0.00,1753323512,10,0.00,357.24
[22:18:33.905] GPS:45.783411,-73.187426,20.30,0.85,0.00,1753323513,10,0.00,357.24
[22:18:34.905] GPS:45.783412,-73.187426,20.30,0.85,0.00,1753323514,10,0.02,357.24
[22:18:35.936] GPS:45.783412,-73.187426,20.30,0.85,0.00,1753323515,10,0.00,357.24
[22:18:36.933] GPS:45.783412,-73.187426,20.30,0.85,0.00,1753323516,10,0.02,357.24
[22:18:37.918] GPS:45.783411,-73.187426,20.20,0.85,0.00,1753323517,10,0.02,357.24
[22:18:38.904] GPS:45.783411,-73.187426,20.20,0.85,0.00,1753323518,10,0.02,357.24
[22:18:39.914] GPS:45.783411,-73.187425,20.30,0.85,0.00,1753323519,10,0.00,357.24
[22:18:40.901] GPS:45.783411,-73.187425,20.30,0.85,0.00,1753323520,10,0.02,357.24
[22:18:41.904] GPS:45.783411,-73.187425,20.20,0.85,0.00,1753323521,10,0.02,357.24
[22:18:42.965] GPS:45.783411,-73.187425,20.20,0.85,0.00,1753323522,10,0.02,357.24
[22:18:43.928] GPS:45.783411,-73.187425,20.20,0.85,0.00,1753323523,10,0.02,357.24
[22:18:44.931] GPS:45.783411,-73.187425,20.10,0.85,0.00,1753323524,10,0.02,357.24
[22:18:45.907] GPS:45.783411,-73.187425,20.10,0.85,0.00,1753323525,10,0.02,357.24
[22:18:46.908] GPS:45.783411,-73.187425,20.10,0.85,0.00,1753323526,10,0.04,357.24
[22:18:47.900] GPS:45.783410,-73.187425,20.10,0.85,0.00,1753323527,10,0.02,357.24
[22:18:48.904] GPS:45.783410,-73.187425,20.10,0.85,0.00,1753323528,10,0.02,357.24
[22:18:49.961] GPS:45.783410,-73.187424,20.10,0.85,0.00,1753323529,10,0.04,357.24
[22:18:50.935] GPS:45.783410,-73.187424,20.10,0.85,0.00,1753323530,10,0.00,357.24
[22:18:51.918] GPS:45.783409,-73.187424,20.10,0.85,0.00,1753323531,10,0.00,357.24
[22:18:52.902] GPS:45.783409,-73.187424,20.00,0.85,0.00,1753323532,10,0.02,357.24
[22:18:54.025] GPS:45.783409,-73.187424,20.00,0.85,0.00,1753323533,10,0.00,357.24
[22:18:54.904] GPS:45.783409,-73.187424,20.00,0.85,0.00,1753323534,10,0.07,357.24
[22:18:55.905] GPS:45.783409,-73.187424,19.90,0.85,0.00,1753323535,10,0.02,357.24
